ID,Index,Region,SalesRep,Month,CustomerRating,CustomerSegment,SalesTargetAchieved,Product,Sales,Profit,Discount%
1,1,East,Charlie,Mar,2,Commercial,Yes,Computer,104.59,31.38,27
2,1,East,Charlie,Mar,2,Commercial,Yes,AirConditioner,76,30.4,16
3,1,East,Charlie,Mar,2,Commercial,Yes,Fridge,53,26.5,19
4,1,East,Charlie,Mar,2,Commercial,Yes,Television,48,12,3
5,2,West,Charlie,Mar,2,Commercial,No,Computer,183,54.9,24
6,2,West,Charlie,Mar,2,Commercial,No,AirConditioner,29,11.6,8
7,2,West,Charlie,Mar,2,Commercial,No,Fridge,11,5.5,8
8,2,West,Charlie,Mar,2,Commercial,No,Television,88,22,13
9,3,North,Charlie,Mar,2,Residential,Yes,Computer,77,23.1,15
10,3,North,Charlie,Mar,2,Residential,Yes,AirConditioner,135,54,11
11,3,North,Charlie,Mar,2,Residential,Yes,Fridge,78,39,4
12,3,North,Charlie,Mar,2,Residential,Yes,Television,62,15.5,8
13,4,East,Bob,Jan,1,Residential,Yes,Computer,34,10.2,8
14,4,East,Bob,Jan,1,Residential,Yes,AirConditioner,13,5.2,21
15,4,East,Bob,Jan,1,Residential,Yes,Fridge,4,2,5
16,4,East,Bob,Jan,1,Residential,Yes,Television,44,11,4
17,5,East,Diana,Mar,4,Residential,No,Computer,188,56.4,10
18,5,East,Diana,Mar,4,Residential,No,AirConditioner,38,15.2,18
19,5,East,Diana,Mar,4,Residential,No,Fridge,7,3.5,2
20,5,East,Diana,Mar,4,Residential,No,Television,19,4.75,11
21,6,West,Eve,Feb,2,Commercial,No,Computer,150,45,5
22,6,West,Eve,Feb,2,Commercial,No,AirConditioner,47,18.8,19
23,6,West,Eve,Feb,2,Commercial,No,Fridge,64,32,5
24,6,West,Eve,Feb,2,Commercial,No,Television,59,14.75,10
25,7,North,Alice,Mar,2,Residential,Yes,Computer,53,15.9,26
26,7,North,Alice,Mar,2,Residential,Yes,AirConditioner,78,31.2,11
27,7,North,Alice,Mar,2,Residential,Yes,Fridge,71,35.5,7
28,7,North,Alice,Mar,2,Residential,Yes,Television,8,2,9
29,8,North,Diana,Feb,2,Corporate,Yes,Computer,172,51.6,16
30,8,North,Diana,Feb,2,Corporate,Yes,AirConditioner,98,39.2,21
31,8,North,Diana,Feb,2,Corporate,Yes,Fridge,54,27,5
32,8,North,Diana,Feb,2,Corporate,Yes,Television,55,13.75,12
33,9,East,Charlie,Jan,2,Residential,No,Computer,64,19.2,26
34,9,East,Charlie,Jan,2,Residential,No,AirConditioner,26,10.4,5
35,9,East,Charlie,Jan,2,Residential,No,Fridge,88,44,15
36,9,East,Charlie,Jan,2,Residential,No,Television,108,27,5
37,10,South,Diana,Feb,4,Commercial,No,Computer,146,43.8,28
38,10,South,Diana,Feb,4,Commercial,No,AirConditioner,74,29.6,11
39,10,South,Diana,Feb,4,Commercial,No,Fridge,7,3.5,15
40,10,South,Diana,Feb,4,Commercial,No,Television,47,11.75,2
41,11,East,Eve,Feb,5,Corporate,No,Computer,139,41.7,11
42,11,East,Eve,Feb,5,Corporate,No,AirConditioner,134,53.6,8
43,11,East,Eve,Feb,5,Corporate,No,Fridge,61,30.5,2
44,11,East,Eve,Feb,5,Corporate,No,Television,2,0.5,4
45,12,East,Alice,Feb,3,Commercial,Yes,Computer,198,59.4,21
46,12,East,Alice,Feb,3,Commercial,Yes,AirConditioner,98,39.2,19
47,12,East,Alice,Feb,3,Commercial,Yes,Fridge,70,35,16
48,12,East,Alice,Feb,3,Commercial,Yes,Television,94,23.5,13
49,13,East,Alice,Jan,3,Corporate,No,Computer,50,15,7
50,13,East,Alice,Jan,3,Corporate,No,AirConditioner,36,14.4,4
51,13,East,Alice,Jan,3,Corporate,No,Fridge,11,5.5,5
52,13,East,Alice,Jan,3,Corporate,No,Television,94,23.5,11
53,14,East,Eve,Mar,2,Corporate,Yes,Computer,181,54.3,15
54,14,East,Eve,Mar,2,Corporate,Yes,AirConditioner,110,44,20
55,14,East,Eve,Mar,2,Corporate,Yes,Fridge,95,47.5,5
56,14,East,Eve,Mar,2,Corporate,Yes,Television,113,28.25,12
57,15,West,Eve,Mar,1,Residential,No,Computer,73,21.9,4
58,15,West,Eve,Mar,1,Residential,No,AirConditioner,148,59.2,2
59,15,West,Eve,Mar,1,Residential,No,Fridge,24,12,18
60,15,West,Eve,Mar,1,Residential,No,Television,39,9.75,12
61,16,North,Charlie,Jan,5,Commercial,Yes,Computer,40,12,20
62,16,North,Charlie,Jan,5,Commercial,Yes,AirConditioner,5,2,1
63,16,North,Charlie,Jan,5,Commercial,Yes,Fridge,29,14.5,19
64,16,North,Charlie,Jan,5,Commercial,Yes,Television,45,11.25,12
65,17,West,Alice,Feb,1,Residential,Yes,Computer,56,16.8,0
66,17,West,Alice,Feb,1,Residential,Yes,AirConditioner,76,30.4,7
67,17,West,Alice,Feb,1,Residential,Yes,Fridge,12,6,14
68,17,West,Alice,Feb,1,Residential,Yes,Television,32,8,0
69,18,West,Diana,Mar,4,Commercial,No,Computer,139,41.7,16
70,18,West,Diana,Mar,4,Commercial,No,AirConditioner,54,21.6,9
71,18,West,Diana,Mar,4,Commercial,No,Fridge,82,41,18
72,18,West,Diana,Mar,4,Commercial,No,Television,65,16.25,7
73,19,West,Bob,Jan,4,Residential,Yes,Computer,105,31.5,23
74,19,West,Bob,Jan,4,Residential,Yes,AirConditioner,145,58,14
75,19,West,Bob,Jan,4,Residential,Yes,Fridge,63,31.5,1
76,19,West,Bob,Jan,4,Residential,Yes,Television,38,9.5,10
