ID,Index,Region,SalesRep,Month,CustomerRating,Total_Profit_original,CustomerSegment,SalesTargetAchieved,Product,Profit,Sales,Discount%
1,1,East,Charlie,Mar,2,100.95,Commercial,Yes,Computer,31.38,104.59,27
2,1,East,Charlie,Mar,2,100.95,Commercial,Yes,AirConditioner,30.4,76,16
3,1,East,Charlie,Mar,2,100.95,Commercial,Yes,Fridge,26.5,53,19
4,1,East,Charlie,Mar,2,100.95,Commercial,Yes,Television,12,48,3
5,2,West,Charlie,Mar,2,94,Commercial,No,Computer,54.9,183,24
6,2,West,Charlie,Mar,2,94,Commercial,No,AirConditioner,11.6,29,8
7,2,West,Charlie,Mar,2,94,Commercial,No,Fridge,5.5,11,8
8,2,West,Charlie,Mar,2,94,Commercial,No,Television,22,88,13
9,3,North,Charlie,Mar,2,131.6,Residential,Yes,Computer,23.1,77,15
10,3,North,Charlie,Mar,2,131.6,Residential,Yes,AirConditioner,54,135,11
11,3,North,Charlie,Mar,2,131.6,Residential,Yes,Fridge,39,78,4
12,3,North,Charlie,Mar,2,131.6,Residential,Yes,Television,15.5,62,8
13,4,East,Bob,Jan,1,28.4,Residential,Yes,Computer,10.2,34,8
14,4,East,Bob,Jan,1,28.4,Residential,Yes,AirConditioner,5.2,13,21
15,4,East,Bob,Jan,1,28.4,Residential,Yes,Fridge,2,4,5
16,4,East,Bob,Jan,1,28.4,Residential,Yes,Television,11,44,4
17,5,East,Diana,Mar,4,79.85,Residential,No,Computer,56.4,188,10
18,5,East,Diana,Mar,4,79.85,Residential,No,AirConditioner,15.2,38,18
19,5,East,Diana,Mar,4,79.85,Residential,No,Fridge,3.5,7,2
20,5,East,Diana,Mar,4,79.85,Residential,No,Television,4.75,19,11
21,6,West,Eve,Feb,2,110.55,Commercial,No,Computer,45,150,5
22,6,West,Eve,Feb,2,110.55,Commercial,No,AirConditioner,18.8,47,19
23,6,West,Eve,Feb,2,110.55,Commercial,No,Fridge,32,64,5
24,6,West,Eve,Feb,2,110.55,Commercial,No,Television,14.75,59,10
25,7,North,Alice,Mar,2,84.6,Residential,Yes,Computer,15.9,53,26
26,7,North,Alice,Mar,2,84.6,Residential,Yes,AirConditioner,31.2,78,11
27,7,North,Alice,Mar,2,84.6,Residential,Yes,Fridge,35.5,71,7
28,7,North,Alice,Mar,2,84.6,Residential,Yes,Television,2,8,9
29,8,North,Diana,Feb,2,131.55,Corporate,Yes,Computer,51.6,172,16
30,8,North,Diana,Feb,2,131.55,Corporate,Yes,AirConditioner,39.2,98,21
31,8,North,Diana,Feb,2,131.55,Corporate,Yes,Fridge,27,54,5
32,8,North,Diana,Feb,2,131.55,Corporate,Yes,Television,13.75,55,12
33,9,East,Charlie,Jan,2,100.6,Residential,No,Computer,19.2,64,26
34,9,East,Charlie,Jan,2,100.6,Residential,No,AirConditioner,10.4,26,5
35,9,East,Charlie,Jan,2,100.6,Residential,No,Fridge,44,88,15
36,9,East,Charlie,Jan,2,100.6,Residential,No,Television,27,108,5
37,10,South,Diana,Feb,4,88.65,Commercial,No,Computer,43.8,146,28
