ID,Index,Region,SalesRep,Month,CustomerRating,CustomerSegment,SalesTargetAchieved,Product,Sales,Profit,Discount%,Net Profit,,,,,
13,4,East,Bob,Jan,1,Residential,Yes,Computer,34,10.2,8,7.48,,,,,
14,4,East,Bob,Jan,1,Residential,Yes,AirConditioner,13,5.2,21,2.47,,,,,
15,4,East,Bob,Jan,1,Residential,Yes,Fridge,4,2,5,1.8,,,,,
16,4,East,Bob,Jan,1,Residential,Yes,Television,44,11,4,9.24,,,,,
33,9,East,Charlie,Jan,2,Residential,No,Computer,64,19.2,26,2.56,,,,,
34,9,East,Charlie,Jan,2,Residential,No,AirConditioner,26,10.4,5,9.1,,,,,
35,9,East,Charlie,Jan,2,Residential,No,Fridge,88,44,15,30.8,,,,,
36,9,East,Charlie,Jan,2,Residential,No,Television,108,27,5,21.6,,,,,
49,13,East,Alice,Jan,3,Corporate,No,Computer,50,15,7,11.5,,,,,
50,13,East,Alice,Jan,3,Corporate,No,AirConditioner,36,14.4,4,12.96,,,,,
51,13,East,Alice,Jan,3,Corporate,No,Fridge,11,5.5,5,4.95,,,,,
52,13,East,Alice,Jan,3,Corporate,No,Television,94,23.5,11,13.16,,,,,
61,16,North,Charlie,Jan,5,Commercial,Yes,Computer,40,12,20,4,,,,,
62,16,North,Charlie,Jan,5,Commercial,Yes,AirConditioner,5,2,1,1.95,,,,,
63,16,North,Charlie,Jan,5,Commercial,Yes,Fridge,29,14.5,19,8.99,,,,,
64,16,North,Charlie,Jan,5,Commercial,Yes,Television,45,11.25,12,5.85,,,,,
73,19,West,Bob,Jan,4,Residential,Yes,Computer,105,31.5,23,7.35,,,,,
74,19,West,Bob,Jan,4,Residential,Yes,AirConditioner,145,58,14,37.7,,,,,
75,19,West,Bob,Jan,4,Residential,Yes,Fridge,63,31.5,1,30.87,,,,,
76,19,West,Bob,Jan,4,Residential,Yes,Television,38,9.5,10,5.7,,,,,
81,21,South,Eve,Jan,5,Commercial,No,Computer,119,35.7,20,11.9,,,,,
82,21,South,Eve,Jan,5,Commercial,No,AirConditioner,57,22.8,9,17.67,,,,,
83,21,South,Eve,Jan,5,Commercial,No,Fridge,12,6,6,5.28,,,,,
84,21,South,Eve,Jan,5,Commercial,No,Television,11,2.75,5,2.2,,,,,
93,24,West,Alice,Jan,3,Corporate,Yes,Computer,115,34.5,17,14.95,,,,,
94,24,West,Alice,Jan,3,Corporate,Yes,AirConditioner,50,20,13,13.5,,,,,
95,24,West,Alice,Jan,3,Corporate,Yes,Fridge,7,3.5,14,2.52,,,,,
96,24,West,Alice,Jan,3,Corporate,Yes,Television,59,14.75,3,12.98,,,,,
113,29,West,Eve,Jan,1,Corporate,Yes,Computer,136,40.8,29,1.36,,,,,
114,29,West,Eve,Jan,1,Corporate,Yes,AirConditioner,121,48.4,18,26.62,,,,,
115,29,West,Eve,Jan,1,Corporate,Yes,Fridge,65,32.5,16,22.1,,,,,
116,29,West,Eve,Jan,1,Corporate,Yes,Television,17,4.25,11,2.38,,,,,
121,31,North,Eve,Jan,3,Corporate,Yes,Computer,39,11.7,8,8.58,,,,,
122,31,North,Eve,Jan,3,Corporate,Yes,AirConditioner,76,30.4,20,15.2,,,,,
123,31,North,Eve,Jan,3,Corporate,Yes,Fridge,61,30.5,19,18.91,,,,,
124,31,North,Eve,Jan,3,Corporate,Yes,Television,5,1.25,0,1.25,,,,,
125,32,North,Diana,Jan,4,Residential,Yes,Computer,80,24,12,14.4,,,,,
126,32,North,Diana,Jan,4,Residential,Yes,AirConditioner,25,10,0,10,,,,,
127,32,North,Diana,Jan,4,Residential,Yes,Fridge,53,26.5,9,21.73,,,,,
128,32,North,Diana,Jan,4,Residential,Yes,Television,60,15,5,12,,,,,
129,33,West,Diana,Jan,2,Corporate,No,Computer,127,38.1,2,35.56,,,,,
130,33,West,Diana,Jan,2,Corporate,No,AirConditioner,86,34.4,11,24.94,,,,,
131,33,West,Diana,Jan,2,Corporate,No,Fridge,52,26,18,16.64,,,,,
132,33,West,Diana,Jan,2,Corporate,No,Television,23,5.75,7,4.14,,,,,
169,43,South,Charlie,Jan,3,Residential,Yes,Computer,52,15.6,6,12.48,,,,,
170,43,South,Charlie,Jan,3,Residential,Yes,AirConditioner,94,37.6,19,19.74,,,,,
171,43,South,Charlie,Jan,3,Residential,Yes,Fridge,45,22.5,9,18.45,,,,,
172,43,South,Charlie,Jan,3,Residential,Yes,Television,114,28.5,1,27.36,,,,,
177,45,West,Diana,Jan,1,Corporate,Yes,Computer,195,58.5,27,5.85,,,,,
178,45,West,Diana,Jan,1,Corporate,Yes,AirConditioner,116,46.4,14,30.16,,,,,
179,45,West,Diana,Jan,1,Corporate,Yes,Fridge,61,30.5,10,24.4,,,,,
180,45,West,Diana,Jan,1,Corporate,Yes,Television,29,7.25,12,3.77,,,,,
181,46,West,Charlie,Jan,2,Residential,Yes,Computer,58,17.4,0,17.4,,,,,
182,46,West,Charlie,Jan,2,Residential,Yes,AirConditioner,107,42.8,7,35.31,,,,,
183,46,West,Charlie,Jan,2,Residential,Yes,Fridge,55,27.5,6,24.2,,,,,
184,46,West,Charlie,Jan,2,Residential,Yes,Television,27,6.75,12,3.51,,,,,
185,47,West,Bob,Jan,5,Commercial,Yes,Computer,51,15.3,25,2.55,,,,,
186,47,West,Bob,Jan,5,Commercial,Yes,AirConditioner,149,59.6,9,46.19,,,,,
187,47,West,Bob,Jan,5,Commercial,Yes,Fridge,21,10.5,5,9.45,,,,,
